TINDAK SEQUENCE NUMBER,NEGERI,TAHUN,Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PR,PR_CALON,PR_UNDI,BN,BN_CALON,BN_UNDI,LAIN1,LAIN_CALON,LAIN1_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D)
899,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/19,TANJONG SETOL,SEKOLAH KEBANGSAAN BUKIT JENUN,3,349,PAS,DR. MOHD HAYATI HAJI OTHMAN,195,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,154,,,,349,0,0
900,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/20,BUKIT GENTING,SEKOLAH KEBANGSAAN BUKIT GENTING PENDANG,1,283,PAS,DR. MOHD HAYATI HAJI OTHMAN,119,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,148,,,,267,16,0
901,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/20,BUKIT GENTING,SEKOLAH KEBANGSAAN BUKIT GENTING PENDANG,2,449,PAS,DR. MOHD HAYATI HAJI OTHMAN,205,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,234,,,,439,10,0
902,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/21,POKOK TAI,SEKOLAH KEBANGSAAN POKOK TAI,1,308,PAS,DR. MOHD HAYATI HAJI OTHMAN,115,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,181,,,,296,12,0
903,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/21,POKOK TAI,SEKOLAH KEBANGSAAN POKOK TAI,2,335,PAS,DR. MOHD HAYATI HAJI OTHMAN,159,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,165,,,,324,11,0
904,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/21,POKOK TAI,SEKOLAH KEBANGSAAN POKOK TAI,3,322,PAS,DR. MOHD HAYATI HAJI OTHMAN,185,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,136,,,,321,1,0
905,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/22,PAYA MAK INSON,SEKOLAH KEBANGSAAN PAYA MAK INSON,1,307,PAS,DR. MOHD HAYATI HAJI OTHMAN,81,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,206,,,,287,20,0
906,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/22,PAYA MAK INSON,SEKOLAH KEBANGSAAN PAYA MAK INSON,2,371,PAS,DR. MOHD HAYATI HAJI OTHMAN,119,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,240,,,,359,12,0
907,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/22,PAYA MAK INSON,SEKOLAH KEBANGSAAN PAYA MAK INSON,3,338,PAS,DR. MOHD HAYATI HAJI OTHMAN,107,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,223,,,,330,8,0
908,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/23,PAYA MENGKUANG,SEKOLAH KEBANGSAAN PAYA MENGKUANG,1,329,PAS,DR. MOHD HAYATI HAJI OTHMAN,185,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,131,,,,316,13,0
909,KEDAH,2008,UNDI BIASA,011,PENDANG,19,SUNGAI TIANG,011/19/23,PAYA MENGKUANG,SEKOLAH KEBANGSAAN PAYA MENGKUANG,2,370,PAS,DR. MOHD HAYATI HAJI OTHMAN,205,UMNO,DATO PADUKA HJ MD ROZAI BIN HJ SHAFIAN,163,,,,368,2,0
910,KEDAH,2008,UNDI POS,012,JERAI,UNDI POS,UNDI POS,012/UNDI POS,UNDI POS,UNDI POS,0,571,PAS,UST. FIRDAUS B. JAAFAR,77,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,333,,,,410,39,122
911,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/01,MATANG BULOH,SEKOLAH KEBANGSAAN PERMATANG BULOH,1,303,PAS,UST. FIRDAUS B. JAAFAR,185,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,110,,,,295,8,0
912,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/01,MATANG BULOH,SEKOLAH KEBANGSAAN PERMATANG BULOH,2,435,PAS,UST. FIRDAUS B. JAAFAR,247,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,178,,,,425,10,0
913,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/01,MATANG BULOH,SEKOLAH KEBANGSAAN PERMATANG BULOH,3,410,PAS,UST. FIRDAUS B. JAAFAR,248,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,159,,,,407,3,0
914,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/01,MATANG BULOH,SEKOLAH KEBANGSAAN PERMATANG BULOH,4,394,PAS,UST. FIRDAUS B. JAAFAR,260,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,132,,,,392,2,0
915,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/02,SUNGAI DEDAP,SEKOLAH KEBANGSAAN SUNGAI DEDAP,1,319,PAS,UST. FIRDAUS B. JAAFAR,205,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,105,,,,310,9,0
916,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/02,SUNGAI DEDAP,SEKOLAH KEBANGSAAN SUNGAI DEDAP,2,442,PAS,UST. FIRDAUS B. JAAFAR,270,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,170,,,,440,2,0
917,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/02,SUNGAI DEDAP,SEKOLAH KEBANGSAAN SUNGAI DEDAP,3,397,PAS,UST. FIRDAUS B. JAAFAR,265,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,129,,,,394,3,0
918,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/02,SUNGAI DEDAP,SEKOLAH KEBANGSAAN SUNGAI DEDAP,4,402,PAS,UST. FIRDAUS B. JAAFAR,292,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,108,,,,400,2,0
919,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/03,GELAM TIGA,"SEKOLA MENENGAH AGAMA NAHDZAH,BATU 12, BUKIT BESAR",1,303,PAS,UST. FIRDAUS B. JAAFAR,203,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,90,,,,293,10,0
920,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/03,GELAM TIGA,"SEKOLA MENENGAH AGAMA NAHDZAH,BATU 12, BUKIT BESAR",2,558,PAS,UST. FIRDAUS B. JAAFAR,396,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,160,,,,556,2,0
921,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/04,BUKIT CHORAS,"SEKOLA MENENGAH AGAMA NAHDZAH,BATU 12, BUKIT BESAR",3,316,PAS,UST. FIRDAUS B. JAAFAR,287,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,21,,,,308,8,0
922,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/04,BUKIT CHORAS,"SEKOLA MENENGAH AGAMA NAHDZAH,BATU 12, BUKIT BESAR",4,473,PAS,UST. FIRDAUS B. JAAFAR,425,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,45,,,,470,3,0
923,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/05,BUKIT BESAR,SEKOLAH KEBANGSAAN BUKIT BESAR,1,290,PAS,UST. FIRDAUS B. JAAFAR,242,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,38,,,,280,10,0
924,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/05,BUKIT BESAR,SEKOLAH KEBANGSAAN BUKIT BESAR,2,547,PAS,UST. FIRDAUS B. JAAFAR,441,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,98,,,,539,8,0
925,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/05,BUKIT BESAR,SEKOLAH KEBANGSAAN BUKIT BESAR,3,503,PAS,UST. FIRDAUS B. JAAFAR,432,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,71,,,,503,0,0
926,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/05,BUKIT BESAR,SEKOLAH KEBANGSAAN BUKIT BESAR,4,501,PAS,UST. FIRDAUS B. JAAFAR,404,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,94,,,,498,3,0
927,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/06,SIMPANG TIGA LUAR,SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN,1,303,PAS,UST. FIRDAUS B. JAAFAR,190,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,108,,,,298,5,0
928,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/06,SIMPANG TIGA LUAR,SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN,2,430,PAS,UST. FIRDAUS B. JAAFAR,241,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,187,,,,428,2,0
929,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/06,SIMPANG TIGA LUAR,SEKOLAH KEBANGSAAN SIMPANG TIGA SUNGAI DAUN,3,412,PAS,UST. FIRDAUS B. JAAFAR,259,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,152,,,,411,1,0
930,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/07,SIMPANG TIGA,"SEKOLAH JENIS KEBANGSAAN (CHINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",1,293,PAS,UST. FIRDAUS B. JAAFAR,91,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,195,,,,286,7,0
931,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/07,SIMPANG TIGA,"SEKOLAH JENIS KEBANGSAAN (CHINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",2,425,PAS,UST. FIRDAUS B. JAAFAR,168,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,252,,,,420,5,0
932,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/07,SIMPANG TIGA,"SEKOLAH JENIS KEBANGSAAN (CHINA) AIK MIN, SIMPANG TIGA SUNGAI LIMAU",3,407,PAS,UST. FIRDAUS B. JAAFAR,181,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,223,,,,404,3,0
933,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/08,SELENGKOH,SEKOLAH KEBANGSAAN HAJI KASSIM JASIN SELENGKOH,1,297,PAS,UST. FIRDAUS B. JAAFAR,148,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,139,,,,287,10,0
934,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/08,SELENGKOH,SEKOLAH KEBANGSAAN HAJI KASSIM JASIN SELENGKOH,2,455,PAS,UST. FIRDAUS B. JAAFAR,205,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,249,,,,454,1,0
935,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/09,"
SUNGAI DAUN",SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH,1,289,PAS,UST. FIRDAUS B. JAAFAR,126,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,152,,,,278,11,0
936,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/09,"
SUNGAI DAUN",SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH,2,435,PAS,UST. FIRDAUS B. JAAFAR,207,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,221,,,,428,7,0
937,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/09,"
SUNGAI DAUN",SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH,3,396,PAS,UST. FIRDAUS B. JAAFAR,217,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,178,,,,395,1,0
938,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/09,"
SUNGAI DAUN",SEKOLAH KEBANGSAAN SUNGAI DAUN TENGAH,4,371,PAS,UST. FIRDAUS B. JAAFAR,175,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,195,,,,370,1,0
939,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/10,SUNGAI LIMAU,SEKOLAH KEBANGSAAN SUNGAI LIMAU YAN,1,290,PAS,UST. FIRDAUS B. JAAFAR,112,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,171,,,,283,7,0
940,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/10,SUNGAI LIMAU,SEKOLAH KEBANGSAAN SUNGAI LIMAU YAN,2,460,PAS,UST. FIRDAUS B. JAAFAR,219,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,233,,,,452,8,0
941,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/10,SUNGAI LIMAU,SEKOLAH KEBANGSAAN SUNGAI LIMAU YAN,3,409,PAS,UST. FIRDAUS B. JAAFAR,223,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,182,,,,405,4,0
942,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/11,KABU SEPULOH,SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU YAN,1,299,PAS,UST. FIRDAUS B. JAAFAR,140,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,147,,,,287,12,0
943,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/11,KABU SEPULOH,SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU YAN,2,513,PAS,UST. FIRDAUS B. JAAFAR,273,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,231,,,,504,9,0
944,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/11,KABU SEPULOH,SEKOLAH MENENGAH KEBANGSAAN SUNGAI LIMAU YAN,3,484,PAS,UST. FIRDAUS B. JAAFAR,251,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,232,,,,483,1,0
945,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/12,SUNGAI KERING,SEKOLAH KEBANGSAAN SUNGAI KERING YAN,1,264,PAS,UST. FIRDAUS B. JAAFAR,49,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,210,,,,259,5,0
946,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/13,SEDAKA,SEKOLAH KEBANGSAAN ULU SEDAKA,1,294,PAS,UST. FIRDAUS B. JAAFAR,135,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,144,,,,279,15,0
947,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/13,SEDAKA,SEKOLAH KEBANGSAAN ULU SEDAKA,2,415,PAS,UST. FIRDAUS B. JAAFAR,181,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,225,,,,406,9,0
948,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/13,SEDAKA,SEKOLAH KEBANGSAAN ULU SEDAKA,3,404,PAS,UST. FIRDAUS B. JAAFAR,243,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,160,,,,403,1,0
949,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/14,ULU SEDAKA,SEKOLAH KEBANGSAAN ULU SEDAKA,4,302,PAS,UST. FIRDAUS B. JAAFAR,157,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,131,,,,288,14,0
950,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/14,ULU SEDAKA,SEKOLAH KEBANGSAAN ULU SEDAKA,5,556,PAS,UST. FIRDAUS B. JAAFAR,307,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,244,,,,551,5,0
951,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/14,ULU SEDAKA,SEKOLAH KEBANGSAAN ULU SEDAKA,6,541,PAS,UST. FIRDAUS B. JAAFAR,368,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,168,,,,536,5,0
952,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/15,PADANG LUMAT,SEKOLAH MENENGAH KEBANGSAAN BATU 17 PADANG LUMAT,1,298,PAS,UST. FIRDAUS B. JAAFAR,153,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,140,,,,293,5,0
953,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/15,PADANG LUMAT,SEKOLAH MENENGAH KEBANGSAAN BATU 17 PADANG LUMAT,2,349,PAS,UST. FIRDAUS B. JAAFAR,191,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,156,,,,347,2,0
954,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/16,BATU ENAM BELAS,SEKOLAH KEBANGSAAN PADANG LUMAT,1,290,PAS,UST. FIRDAUS B. JAAFAR,168,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,120,,,,288,2,0
955,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/16,BATU ENAM BELAS,SEKOLAH KEBANGSAAN PADANG LUMAT,2,528,PAS,UST. FIRDAUS B. JAAFAR,330,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,197,,,,527,1,0
956,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/17,KAMPUNG TITI BATU,SEKOLAH KEBANGSAAN (CHINA) PEI HWA BATU 17,1,283,PAS,UST. FIRDAUS B. JAAFAR,142,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,128,,,,270,13,0
957,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/17,KAMPUNG TITI BATU,SEKOLAH KEBANGSAAN (CHINA) PEI HWA BATU 17,2,458,PAS,UST. FIRDAUS B. JAAFAR,259,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,194,,,,453,5,0
958,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/17,KAMPUNG TITI BATU,SEKOLAH KEBANGSAAN (CHINA) PEI HWA BATU 17,3,420,PAS,UST. FIRDAUS B. JAAFAR,246,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,173,,,,419,1,0
959,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/18,DULANG KECHIL,SEKOLAH KEBANGSAAN DULANG YAN,1,296,PAS,UST. FIRDAUS B. JAAFAR,104,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,175,,,,279,17,0
960,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/18,DULANG KECHIL,SEKOLAH KEBANGSAAN DULANG YAN,2,531,PAS,UST. FIRDAUS B. JAAFAR,203,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,322,,,,525,6,0
961,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/18,DULANG KECHIL,SEKOLAH KEBANGSAAN DULANG YAN,3,484,PAS,UST. FIRDAUS B. JAAFAR,172,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,312,,,,484,0,0
962,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/19,DULANG BESAR,SEKOLAH MENENGAH KEBANGSAAN DULANG,1,303,PAS,UST. FIRDAUS B. JAAFAR,92,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,198,,,,290,13,0
963,KEDAH,2008,UNDI BIASA,012,JERAI,20,SUNGAI LIMAU,012/20/19,DULANG BESAR,SEKOLAH MENENGAH KEBANGSAAN DULANG,2,476,PAS,UST. FIRDAUS B. JAAFAR,215,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,256,,,,471,5,0
964,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/01,PONDOK HAJI MAJID,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, JALAN JENUN",1,251,PAS,UST. FIRDAUS B. JAAFAR,119,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,122,,,,241,10,0
965,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/01,PONDOK HAJI MAJID,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, JALAN JENUN",2,536,PAS,UST. FIRDAUS B. JAAFAR,334,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,198,,,,532,4,0
966,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/01,PONDOK HAJI MAJID,"SEKOLAH KEBANGSAAN HAJI HUSSIN DOL, JALAN JENUN",3,511,PAS,UST. FIRDAUS B. JAAFAR,319,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,189,,,,508,3,0
967,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/02,TAMAN SRI WANGSA,"DEWAN MAJLIS DAERAH YAN GUAR CHEMPEDAK
",1,261,PAS,UST. FIRDAUS B. JAAFAR,131,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,127,,,,258,3,0
968,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/02,TAMAN SRI WANGSA,"DEWAN MAJLIS DAERAH YAN GUAR CHEMPEDAK
",2,458,PAS,UST. FIRDAUS B. JAAFAR,254,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,200,,,,454,4,0
969,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/02,TAMAN SRI WANGSA,"DEWAN MAJLIS DAERAH YAN GUAR CHEMPEDAK
",3,426,PAS,UST. FIRDAUS B. JAAFAR,240,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,185,,,,425,1,0
970,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/03,PONDOK HAJI HUSSEIN,SEKOLAH JENIS KEBANGSAAN (CHINA) YANG KAO GUAR CHEMPEDAK,1,258,PAS,UST. FIRDAUS B. JAAFAR,157,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,90,,,,247,11,0
971,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/03,PONDOK HAJI HUSSEIN,SEKOLAH JENIS KEBANGSAAN (CHINA) YANG KAO GUAR CHEMPEDAK,2,458,PAS,UST. FIRDAUS B. JAAFAR,274,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,178,,,,452,6,0
972,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/03,PONDOK HAJI HUSSEIN,SEKOLAH JENIS KEBANGSAAN (CHINA) YANG KAO GUAR CHEMPEDAK,3,396,PAS,UST. FIRDAUS B. JAAFAR,225,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,171,,,,396,0,0
973,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/04,TITI TERAS,SEKOLAH JENIS KEBANGSAAN (CHINA) PEI ENG TEROI,1,480,PAS,UST. FIRDAUS B. JAAFAR,170,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,298,,,,468,12,0
974,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/05,TEROI,SEKOLAH KEBANGSAAN TEROI,1,271,PAS,UST. FIRDAUS B. JAAFAR,112,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,153,,,,265,6,0
975,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/05,TEROI,SEKOLAH KEBANGSAAN TEROI,2,452,PAS,UST. FIRDAUS B. JAAFAR,175,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,272,,,,447,5,0
976,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/05,TEROI,SEKOLAH KEBANGSAAN TEROI,3,407,PAS,UST. FIRDAUS B. JAAFAR,147,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,258,,,,405,2,0
977,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/06,TITI SERONG,SEKOLAH JENIS KEBANGSAAN (CHINA) CHUNG HWA YAN KECHIL,1,298,PAS,UST. FIRDAUS B. JAAFAR,129,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,160,,,,289,9,0
978,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/06,TITI SERONG,SEKOLAH JENIS KEBANGSAAN (CHINA) CHUNG HWA YAN KECHIL,2,510,PAS,UST. FIRDAUS B. JAAFAR,245,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,262,,,,507,3,0
979,KEDAH,2008,UNDI BIASA,012,JERAI,21,GUAR CHEMPEDAK,012/21/07,KUALA YAN KECHIL,SEKOLAH MENENGAH AGAMA FAUZI YAN KECHIL,1,296,PAS,UST. FIRDAUS B. JAAFAR,114,UMNO,DATO' PADUKA HJ. BADRUDDIN BIN AMIRULDIN,166,,,,280,16,0
